Log Time,RPM,TPS,IAP,HO2,HO2 Wideband,IGN,STP,GEAR,CLUTCH,NT,BOOST,IP,AP,CLT,IAT,BATT,PAIR,FUEL1,FUEL2,FUEL3,FUEL4,HOX_ON,ECU_COV1,IAP_8bit,PRESSURE,ECU_AN15,DUTY,TARGET_BOOST,OVERBOOST,GEAR_IGN_RETARD,BOOST_IGN_RETARD,TOTAL_IGN_RETARD,PRIMARY_INJ,SECONDARY_INJ,New Data Rate %,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.165,128,241,18,52,97,8,8,1,5,161,1,16,161,1,119,255,255,14,81,58,129,70,71,184,179,93,0,255,116,41,255,6,239,6,177,6,199,6,180,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.241,58,59,93,372,82,26,0,Out,TRUE,255,125,184,70,5,179,0,1674,1610,1660,1764,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.241,128,241,18,52,97,8,8,1,5,161,1,16,161,1,119,255,255,14,237,58,125,70,71,184,179,93,0,255,116,41,255,6,138,6,74,6,124,6,228,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.316,57,60,93,372,82,26,0,Out,TRUE,255,124,184,70,8,178,0,1630,1573,1596,1660,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.316,128,241,18,52,97,8,8,1,5,161,1,16,161,1,118,255,255,15,9,57,124,70,71,184,178,93,0,255,116,41,255,6,94,6,37,6,60,6,124,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.390,58,60,93,372,82,26,0,Out,TRUE,255,124,184,70,5,177,0,1628,1618,1577,1627,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.390,128,241,18,52,97,8,8,1,5,161,1,16,161,1,119,255,255,14,127,58,124,70,71,184,177,93,0,255,116,41,255,6,92,6,82,6,41,6,91,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.465,58,64,93,372,82,26,0,Out,TRUE,255,120,184,70,8,178,0,1690,1617,1648,1687,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.465,128,241,18,52,97,8,8,1,5,161,1,16,161,1,118,255,255,14,228,58,120,70,71,184,178,93,0,255,116,41,255,6,154,6,81,6,112,6,151,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.541,58,65,90,360,82,26,0,Out,TRUE,255,119,184,70,5,179,0,1626,1576,1568,1618,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.541,128,241,18,52,97,8,8,1,5,161,1,16,161,1,106,255,255,14,244,58,119,70,71,184,179,90,0,255,116,41,255,6,90,6,40,6,32,6,82,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.616,58,64,90,360,82,26,0,Out,TRUE,255,121,185,70,8,177,0,1698,1605,1635,1671,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.616,128,241,18,52,97,8,8,1,5,161,1,16,161,1,106,255,255,14,224,58,121,70,71,185,177,90,0,255,116,41,255,6,162,6,69,6,99,6,135,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.690,57,62,89,356,82,26,0,Out,TRUE,255,122,184,70,5,178,0,1747,1587,1642,1637,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.690,128,241,18,52,97,8,8,1,5,161,1,16,161,1,103,255,255,14,83,57,122,70,72,184,178,89,0,255,116,41,255,6,211,6,51,6,106,6,101,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.765,57,59,89,356,82,26,0,Out,TRUE,255,125,184,70,8,177,0,1709,1715,1642,1751,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.765,128,241,18,52,97,8,8,1,5,161,1,16,161,1,102,255,255,14,102,57,125,70,71,184,177,89,0,255,116,41,255,6,173,6,179,6,106,6,215,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.841,57,62,87,348,82,26,0,Out,TRUE,255,123,185,70,5,179,0,1644,1586,1679,1622,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.841,128,241,18,52,97,8,8,1,5,161,1,16,161,1,94,255,255,14,242,57,123,70,72,185,179,87,0,255,116,41,255,6,108,6,50,6,143,6,86,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.918,58,58,84,336,82,26,0,Out,TRUE,255,126,184,70,8,179,0,1625,1623,1587,1705,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.918,128,241,18,52,97,8,8,1,5,161,1,16,161,1,81,255,255,14,95,58,126,70,72,184,179,84,0,255,116,41,255,6,89,6,87,6,51,6,169,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.993,57,57,83,332,82,26,0,Out,TRUE,255,127,184,70,5,177,0,1658,1620,1640,1659,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.993,128,241,18,52,97,8,8,1,5,161,1,16,161,1,78,255,255,14,222,57,127,70,71,184,177,83,0,255,116,41,255,6,122,6,84,6,104,6,123,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:04.068,58,55,81,324,82,26,0,Out,TRUE,255,129,184,70,8,178,0,1644,1622,1597,1690,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:04.068,128,241,18,52,97,8,8,1,5,161,1,16,161,1,70,255,255,14,43,58,129,70,72,184,178,81,0,255,116,41,255,6,108,6,86,6,61,6,154,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:04.143,57,54,87,348,82,26,0,Out,TRUE,255,130,184,70,5,180,0,1718,1668,1711,1690,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:04.143,128,241,18,52,97,8,8,1,5,161,1,16,161,1,95,255,255,14,164,57,130,70,71,184,180,87,0,255,116,41,255,6,182,6,132,6,175,6,154,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:04.218,58,54,88,352,82,26,0,Out,TRUE,255,131,185,70,8,179,0,1585,1580,1581,1660,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
